Protein	Rank	Structure	ABC_old_i mean	ABC_old_i std
LexA	1	3JSO	90.9356022648	6.76843337924
LexA	2	3JSP	256.935815212	18.4047478773
Fis	1	4IHV	124.084699659	6.77276093491
Fis	2	3JR9	115.855558063	10.3300556003
Fis	3	3IV5	136.981999599	9.29129521938
Fis	4	3JRF	169.139402828	11.6541633652
Fis	5	3JRA	248.248270156	14.7800933781
CRP	1	1ZRF	188.434232313	12.8690525383
CRP	2	1CGP	274.370548701	20.161637837
Integrase	1	HIV	188.434232313	12.8690525383
Nucleosome	1	1KX5	630.776819243	18.9495254537
Nucleosome	2	3UTA	1008.74578851	36.103455917
Nucleosome	3	1KX3	1311.68662472	46.5615496645
Nucleosome	4	3UTB	1289.95179133	48.6128374733
Nucleosome	5	3UT9	1074.11340572	30.7000587719
Nucleosome	6	3MVD	1071.87649685	30.9602128129
