Protein	Rank	Structure	ABC_old_s mean	ABC_old_s std
CRP	1	1ZRF	400.742047165	64.1255863412
CRP	2	1CGP	263.057578493	31.1008837419
Integrase	1	HIV	400.742047165	64.1255863412
Nucleosome	1	1KX5	876.943722724	45.8860765941
Nucleosome	2	1KX3	1022.87360463	46.0408274935
Nucleosome	3	3UTA	1062.10290237	45.1164906946
Nucleosome	4	3UTB	970.524561047	42.2349551887
Nucleosome	5	3UT9	1071.7737467	45.1142150644
Nucleosome	6	3MVD	1100.79257154	44.3235825399
LexA	1	3JSO	82.3004872733	11.965640932
LexA	2	3JSP	87.8884219361	10.0720312776
Fis	1	4IHV	105.589604016	12.7386466698
Fis	2	3JRH	103.838980395	11.2258910909
Fis	3	3IV5	88.40513751	10.1030846829
Fis	4	3JR9	81.1100675642	9.02839022246
Fis	5	3JRF	82.9630653329	9.52334083203
Fis	6	3JRC	130.470498646	13.3993329933
Fis	7	3JRE	100.286890794	10.190601768
Fis	8	3JRD	88.1554414862	9.48539184927
Fis	9	3JRB	142.256505716	13.291523995
Fis	10	3JRA	116.610026825	12.1880293982
Fis	11	3JRG	150.526474128	17.1919580284
Fis	12	3JRI	108.580794976	10.5729005047
