Protein	Rank	Structure	ABC_s mean	ABC_s std
CRP	1	1ZRF	386.687493728	67.6202460905
CRP	2	1CGP	254.684045541	33.1247058235
Integrase	1	HIV	386.687493728	67.6202460905
Nucleosome	1	1KX5	876.943722724	45.8860765941
Nucleosome	2	1KX3	1022.87360463	46.0408274935
Nucleosome	3	3UTA	1062.10290237	45.1164906946
Nucleosome	4	3UTB	970.524561047	42.2349551887
Nucleosome	5	3UT9	1071.7737467	45.1142150644
Nucleosome	6	3MVD	1100.79257154	44.3235825399
LexA	1	3JSO	79.1108671961	11.923187798
LexA	2	3JSP	84.2254703628	9.19812562371
Fis	1	4IHV	101.609161903	13.963047801
Fis	2	3JRH	103.838980395	11.2258910909
Fis	3	3IV5	85.2111693993	11.0347716238
Fis	4	3JR9	78.1647675993	9.29241751528
Fis	5	3JRF	79.9245637786	9.00682795679
Fis	6	3JRC	130.470498646	13.3993329933
Fis	7	3JRE	100.286890794	10.190601768
Fis	8	3JRD	88.1554414862	9.48539184927
Fis	9	3JRB	142.256505716	13.291523995
Fis	10	3JRA	112.789184717	12.951542926
Fis	11	3JRG	150.526474128	17.1919580284
Fis	12	3JRI	108.580794976	10.5729005047
