Protein	Rank	Structure	NP mean	NP std
LexA	1	3JSO	74.9855851117	11.3436730771
LexA	2	3JSP	80.6668764402	9.99862303076
Fis	1	4IHV	84.9604032986	8.24959165111
Fis	2	3JR9	62.0298839483	5.36704556766
Fis	3	3IV5	71.0593449218	6.57512030256
Fis	4	3JRF	63.9160254161	4.90649543717
Fis	5	3JRA	107.518034389	9.75166302761
CRP	1	1ZRF	343.366484399	58.7915127563
CRP	2	1CGP	229.719336075	28.6182136049
Integrase	1	HIV	343.366484399	58.7915127563
Nucleosome	1	1KX5	731.736732623	46.0281758092
Nucleosome	2	3UTA	932.101866883	48.4672062506
Nucleosome	3	1KX3	897.093141234	48.3948723155
Nucleosome	4	3UTB	799.31253171	43.0006022191
Nucleosome	5	3UT9	927.28221388	48.4845631982
Nucleosome	6	3MVD	944.84177151	43.5435166727
